,gender,height,weight
0,0,72,155
58,0,72,230
57,0,72,163
56,0,72,198
55,0,72,170
54,0,73,240
53,0,68,149
52,0,75,230
59,0,74,170
51,0,68,155
49,0,67,150
48,0,66,135
47,0,67,146
46,0,69,185
45,0,68,158
44,0,71,175
43,0,71,185
50,0,72,160
42,0,68,155
60,0,68,151
62,0,68,145
78,0,67,167
77,0,70,155
76,0,71,175
75,0,70,200
74,0,67,150
73,0,68,150
72,0,72,181
61,0,73,220
71,0,68,170
69,0,72,205
68,0,71,237
67,0,67,185
66,0,67,145
65,0,70,210
64,0,72,160
63,0,70,130
70,0,73,147
41,0,69,168
40,0,73,172
19,0,72,180
39,0,72,170
12,0,71,175
11,0,71,205
10,0,66,175
9,0,66,133
8,0,72,160
17,0,73,163
29,0,67,120
16,0,70,175
31,0,65,130
2,0,65,125
1,0,67,145
36,0,73,195
37,0,69,135
38,0,70,145
30,0,68,140
4,1,63,105
6,1,66,125
7,1,64,125
3,1,67,120
13,1,57,82
14,1,66,125
5,1,54,120
79,1,58,100
18,1,68,133
20,1,65,107
21,1,70,170
22,1,64,110
23,1,64,140
24,1,63,110
25,1,60,110
26,1,69,125
27,1,65,120
28,1,67,180
32,1,62,122
33,1,66,114
34,1,65,115
35,1,63,125
15,1,67,133
80,1,56,100
